code,name,score,sector,roa_current,operating_margin_current,asset_turnover_current,debt_ratio_current,roa_current_beats_sector,operating_margin_current_beats_sector,asset_turnover_current_beats_sector,debt_ratio_current_beats_sector,sector_relative_strength,adjusted_score,net_income_positive,roa_increasing,roa_previous,debt_ratio_decreasing,debt_ratio_previous,shares_not_increasing,shares_current,shares_previous,operating_margin_increasing,operating_margin_previous,asset_turnover_increasing,asset_turnover_previous
123410,코리아에프티,5,UNKNOWN,8.54,6.23,1.53,49.13,False,True,True,False,0.5,5.5,True,True,7.59,True,52.75,True,27841.0,27841.0,True,5.1,False,1.58
037460,삼지전자,5,UNKNOWN,7.83,3.44,2.8,46.73,False,False,True,True,0.5,5.5,True,True,5.05,False,46.18,True,16319.0,16319.0,True,3.1,True,2.49
037440,희림,5,UNKNOWN,6.43,6.35,1.16,60.59,False,True,True,False,0.5,5.5,True,True,3.31,True,62.12,True,13922.0,13922.0,True,3.24,False,1.18
024800,유성티엔에스,5,UNKNOWN,11.56,3.2,0.25,19.16,True,False,False,True,0.5,5.5,True,True,10.99,True,26.45,True,37052.0,37052.0,True,0.88,False,0.38
021050,서원,5,UNKNOWN,4.12,2.24,1.25,64.68,False,False,True,False,0.25,5.25,True,True,-4.13,False,49.8,True,47475.0,47475.0,True,0.21,True,0.94
096760,JW홀딩스,5,UNKNOWN,9.82,16.5,0.71,58.31,False,True,False,False,0.25,5.25,True,True,2.64,True,70.35,True,73925.0,73925.0,True,15.61,False,0.79
012030,DB,5,UNKNOWN,10.67,5.04,0.68,54.68,True,False,False,False,0.25,5.25,True,True,2.31,True,55.06,True,201174.0,201174.0,False,8.07,True,0.52
014130,한익스프레스,5,UNKNOWN,4.3,0.48,1.78,74.34,False,False,True,False,0.25,5.25,True,True,-3.65,True,80.21,True,12000.0,12000.0,False,1.3,True,1.56
208890,미래엔에듀파트너,5,UNKNOWN,8.7,4.17,2.09,57.61,False,False,True,False,0.25,5.25,True,True,-2.53,True,60.76,True,4006.0,4006.0,True,1.51,False,2.52
024900,디와이덕양,5,UNKNOWN,2.99,0.44,3.37,81.79,False,False,True,False,0.25,5.25,True,True,0.78,True,84.14,True,32565.0,32565.0,False,1.48,True,3.27
013520,화승코퍼레이션,5,UNKNOWN,4.65,5.22,1.32,71.91,False,False,True,False,0.25,5.25,True,True,2.88,True,76.57,True,50051.0,50051.0,True,4.79,False,1.42
003480,한진중공업홀딩스,5,UNKNOWN,3.29,3.94,0.63,77.26,False,False,False,False,0.0,5.0,True,True,0.42,True,80.29,True,29530.0,29530.0,True,3.17,False,0.67
950170,JTC,4,UNKNOWN,15.0,15.74,1.01,40.87,True,True,True,True,1.0,5.0,True,False,21.54,True,48.88,False,51746.0,50289.0,True,6.71,True,0.86
035150,백산,4,UNKNOWN,10.95,13.33,1.13,40.59,True,True,True,True,1.0,5.0,True,False,13.08,True,45.32,True,21500.0,22500.0,False,15.39,True,1.09
069510,에스텍,4,UNKNOWN,11.93,8.64,1.31,47.55,True,True,True,False,0.75,4.75,True,True,8.1,False,41.82,True,10910.0,10910.0,True,5.93,False,1.55
079960,동양이엔피,4,UNKNOWN,7.41,9.45,1.13,17.89,False,True,True,True,0.75,4.75,True,False,16.38,True,23.12,True,7860.0,7860.0,True,9.41,False,1.29
234080,JW생명과학,4,UNKNOWN,13.53,16.13,0.68,38.4,True,True,False,True,0.75,4.75,True,True,10.99,False,37.69,True,15835.0,15835.0,True,14.93,False,0.81
076340,지에이이노더스,4,UNKNOWN,13.57,3.32,1.68,18.31,True,False,True,True,0.75,4.75,True,True,6.83,False,17.39,True,4871.0,4871.0,True,2.83,False,2.27
101160,월덱스,4,UNKNOWN,16.59,22.91,0.78,21.52,True,True,False,True,0.75,4.75,True,False,17.18,True,23.65,True,16511.0,16511.0,True,22.49,False,0.92
016790,현대사료,4,UNKNOWN,24.27,2.1,1.1,24.02,True,False,True,True,0.75,4.75,True,True,-200.83,True,166.61,False,188472.0,186992.0,True,-5.98,False,1.48
005710,대원산업,4,UNKNOWN,10.2,8.05,1.31,28.0,False,True,True,True,0.75,4.75,True,True,6.32,False,21.06,True,20038.0,20038.0,True,6.07,False,1.38
051360,토비스,4,UNKNOWN,11.61,9.03,1.26,49.91,True,True,True,False,0.75,4.75,True,True,2.64,True,56.54,True,16167.0,16267.0,False,9.36,False,1.28
082210,옵트론텍,4,UNKNOWN,11.69,-2.02,0.97,64.3,True,False,True,False,0.5,4.5,True,True,0.79,True,91.83,False,33192.0,24484.0,False,4.33,True,0.97
465770,STX그린로지스,4,UNKNOWN,10.71,10.21,0.29,68.45,True,True,False,False,0.5,4.5,True,True,1.89,False,58.86,True,7171.0,7171.0,True,6.36,False,0.38
020710,시공테크,4,UNKNOWN,13.42,4.35,0.65,30.68,True,False,False,True,0.5,4.5,True,True,4.71,False,25.17,True,20048.0,20048.0,True,4.15,False,0.76
004250,NPC,4,UNKNOWN,13.12,2.29,0.79,24.13,True,False,False,True,0.5,4.5,True,True,4.97,True,32.12,True,36720.0,36720.0,False,5.82,False,0.95
212560,네오오토,4,UNKNOWN,8.16,5.76,1.01,42.81,False,False,True,True,0.5,4.5,True,True,6.75,False,38.82,True,11812.0,11812.0,True,5.25,False,1.12
378850,화승알앤에이,4,UNKNOWN,6.9,4.43,1.5,67.97,False,False,True,False,0.25,4.25,True,True,5.62,True,73.89,True,18994.0,18994.0,False,4.67,False,1.58
019180,티에이치엔,4,UNKNOWN,7.37,4.76,1.43,67.43,False,False,True,False,0.25,4.25,True,True,6.85,True,70.67,True,18000.0,18000.0,False,7.35,False,1.45
