	Code	Name	ROE	PM	EY	ROE_Rank	PM_Rank	Total_Rank
0	448830	미래에셋비전스팩3호	1.37	0.8675799086757991	-0.008016160579728733	1517.0	1557.0	3074.0
0	036120	SCI평가정보	1.61	0.52	0.005211726384364821	1496.0	1580.0	3076.0
0	006110	삼아알미늄	1.73	0.4041095890410959	0.0037958973940964602	1487.0	1597.0	3084.0
0	451800	한화리츠	0.94	1.0869565217391304	0.02055712984515737	1554.0	1532.0	3086.0
0	039980	폴라리스AI	1.28	0.7142857142857143	0.012234886326486798	1526.0	1564.0	3090.0
0	000520	삼일제약	1.31	0.6389214536928488	0.013129386957412429	1520.0	1571.0	3091.0
0	450050	하이제8호스팩	1.09	0.9069212410501194	-0.0	1539.0	1555.0	3094.0
0	054920	한컴위드	0.64	1.2648221343873518	-0.019748949770600148	1585.0	1510.0	3095.0
0	095270	웨이브일렉트로	1.04	0.9100310237849016	0.05806005896820593	1543.0	1554.0	3097.0
0	003530	한화투자증권	0.59	1.274658573596358	0.0027907383060848923	1589.0	1509.0	3098.0
0	302440	SK바이오사이언스	1.3	0.538888888888889	-0.0028176210262151457	1523.0	1578.0	3101.0
0	079810	디이엔티	1.2	0.6043329532497149	0.006261843171327418	1532.0	1573.0	3105.0
0	207490	에이펙스인텍	1.46	0.4	0.002577319587628866	1507.0	1598.0	3105.0
0	059120	아진엑스텍	1.14	0.6042654028436019	-0.010964703887206821	1536.0	1574.0	3110.0
0	010660	화천기계	0.58	1.1494252873563218	-0.03488777764856379	1591.0	1522.0	3113.0
0	024060	흥구석유	1.42	0.3472222222222222	0.0002983293556085919	1514.0	1602.0	3116.0
0	003620	KG모빌리티	0.82	0.9284332688588007	0.007889110560974329	1567.0	1551.0	3118.0
0	352910	오비고	1.11	0.5	-0.006362375456500439	1538.0	1582.0	3120.0
0	066980	한성크린텍	0.73	0.966702470461869	0.006431897211666892	1577.0	1547.0	3124.0
0	075970	동국알앤에스	0.6	1.056910569105691	0.028979907264296754	1588.0	1538.0	3126.0
0	124500	아이티센	1.06	0.43872919818456885	0.0482829269338266	1540.0	1588.0	3128.0
0	010580	에스엠벡셀	1.03	0.4889975550122249	0.08077805147082207	1545.0	1583.0	3128.0
0	218150	미래생명자원	1.04	0.472610096670247	0.0	1543.0	1585.0	3128.0
0	376190	LB루셈	0.59	1.0212765957446808	-0.008116883116883116	1589.0	1541.0	3130.0
0	373220	LG에너지솔루션	1.21	0.24375715922107674	0.009876016965687032	1530.0	1612.0	3142.0
0	020150	롯데에너지머티리얼즈	0.82	0.5950413223140496	0.004851112552377965	1567.0	1575.0	3142.0
0	413600	키움제6호스팩	0.81	0.5536332179930795	-0.0	1570.0	1576.0	3146.0
0	037070	파세코	0.74	0.6280193236714976	-0.008275862068965517	1575.0	1572.0	3147.0
0	009320	대우부품	0.86	0.458295142071494	0.020879812666320757	1562.0	1587.0	3149.0
0	034310	NICE	0.51	0.9254267744833783	0.03781516616535647	1597.0	1552.0	3149.0
0	001510	SK증권	0.4	0.984251968503937	0.0022571902070365846	1604.0	1545.0	3149.0
0	001290	상상인증권	0.21	1.0438413361169103	0.0005313797199024485	1610.0	1540.0	3150.0
0	054300	팬스타엔터프라이즈	0.55	0.8097165991902834	0.03754160313532452	1593.0	1561.0	3154.0
0	330590	롯데리츠	0.56	0.6956521739130435	0.018984692102501886	1592.0	1565.0	3157.0
0	093370	후성	0.82	0.4242424242424243	-0.004878160961192836	1567.0	1591.0	3158.0
0	027580	상보	0.68	0.5413766434648105	0.022544370825964877	1581.0	1577.0	3158.0
0	049830	승일	0.29	0.9176788124156544	0.008566763356869088	1606.0	1553.0	3159.0
0	060150	인선이엔티	0.5	0.6457242582897033	0.057989032071351136	1598.0	1569.0	3167.0
0	356680	엑스게이트	0.94	0.2352941176470588	0.03205748454301469	1554.0	1613.0	3167.0
0	288980	모아데이타	0.65	0.435052827843381	-0.005690358731310621	1583.0	1589.0	3172.0
0	450080	에코프로머티	0.91	0.06698187549251379	0.00097515607068175	1557.0	1623.0	3180.0
0	090360	로보스타	0.77	0.3093681917211329	0.004492317116749196	1572.0	1608.0	3180.0
0	419080	엔젯	0.66	0.3575685339690107	-0.02398738400672012	1582.0	1600.0	3182.0
0	004380	삼익THK	0.48	0.4825462012320329	0.01484062459672216	1599.0	1584.0	3183.0
0	003380	하림지주	0.14	0.6545454545454545	0.06578781775975089	1617.0	1568.0	3185.0
0	448730	삼성FN리츠	0.46	0.4583333333333333	0.00902692053376181	1600.0	1586.0	3186.0
0	016100	리더스코스메틱	0.54	0.4067796610169492	-0.0520909362376655	1594.0	1596.0	3190.0
0	025820	이구산업	0.52	0.40858018386108275	0.03044788934783278	1596.0	1595.0	3191.0
0	001770	SHD	0.21	0.5109489051094891	0.014274309403813076	1610.0	1581.0	3191.0
0	186230	그린플러스	0.54	0.21538461538461537	0.016861765945718084	1594.0	1614.0	3208.0
0	395400	SK리츠	0.34	0.3144654088050315	0.008044518767921744	1605.0	1604.0	3209.0
0	000140	하이트진로홀딩스	0.17	0.41081081081081083	0.046484781914087475	1616.0	1594.0	3210.0
0	006280	녹십자	0.44	0.310410094637224	0.020363033887096562	1603.0	1607.0	3210.0
0	139050	BF랩스	0.21	0.35650623885918004	-0.05232783110779395	1610.0	1601.0	3211.0
0	002600	조흥	0.23	0.3361726291879614	0.04494900017288077	1608.0	1603.0	3211.0
0	109860	동일금속	0.2	0.3687150837988827	0.14051787636693297	1613.0	1599.0	3212.0
0	009730	이렘	0.29	0.2785515320334262	0.024415655836134035	1606.0	1610.0	3216.0
0	271940	일진하이솔루스	0.45	0.18795180722891566	-0.01293396846157374	1601.0	1616.0	3217.0
0	177830	파버나인	0.19	0.3125	0.01779642564025258	1614.0	1606.0	3220.0
0	032750	삼진	0.13	0.29545454545454547	0.03154238965143999	1619.0	1609.0	3228.0
0	293490	카카오게임즈	0.18	0.17415730337078653	0.009046984785889972	1615.0	1617.0	3232.0
0	454910	두산로보틱스	0.23	0.024193548387096774	0.0004982759651605445	1608.0	1626.0	3234.0
0	288620	에스퓨얼셀	0.14	0.12142237640936687	0.007615765828401438	1617.0	1618.0	3235.0
0	000480	CR홀딩스	0.06	0.1916376306620209	0.03785372819831818	1625.0	1615.0	3240.0
0	296640	이노룰스	0.11	0.12027491408934708	-0.03781199623392518	1621.0	1620.0	3241.0
0	033200	모아텍	0.08	0.12139605462822459	-0.047290831844657356	1623.0	1619.0	3242.0
0	950110	SBI핀테크솔루션즈	0.11	0.08385744234800838	0.001254810929418253	1621.0	1621.0	3242.0
